time (s),X (pixels),Y (pixels),R (pixels),Theta (°)
126.110777499998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.144360299993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.177370499994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.210737000001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.243954299993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.279042999988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.312819499988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.346248999995,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.379481700002,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.412788299989,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.446203999993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.479572299999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.5129418,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.546452800001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.579695499997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.613061299999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.646339799991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.679744399997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.713210999995,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.74651479999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.779746299988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.813194999995,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.846524399996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.8799248,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.9134605,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.946578599993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.979934599993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.01332659999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.046697599988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.080078200001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.11344809999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.146775799993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.180188400001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.21353149999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.246605399996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.278862699997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.311683699998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.345064699999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.378536199991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.411702599988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.445672499991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.480427099988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.51377569999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.547068399988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.58160189999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.612676499994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.647173799996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.6805417,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.7138958,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.747371099991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.780531600001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.81396829999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.847332899997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.880684499993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.914053799992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.947413899994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
127.980758399994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.0141382,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.047490899989,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.080894899991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.114256399989,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.147583099999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.181208199996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.214289799987,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.24765569999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.281025799995,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.314400799994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.347732199996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.381162399994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.414519999991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.447573999991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.47965709999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.512574699998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.546041499998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.579215499994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.612609999996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.646969299996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.681550900001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.714631199997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.748025099994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.781411299991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.814751099999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.848162499999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.881422399994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.914828599998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.948293499998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
128.981633299991,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.014951099991,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.048267899998,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.081535799996,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.114980499988,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.148365299989,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.181633200002,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.215095399995,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.248477799993,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.280697999988,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.313312499988,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.346592899994,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.380138399996,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.413215299995,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.446739299994,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.481458299997,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.515327000001,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.548738799989,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.582054999992,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.615623599995,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.648591899997,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.680724899998,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.713467299996,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.747015199988,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.780249599993,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.813606299998,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.847658899991,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.8822564,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.915694800002,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.94900529999,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
129.982367799996,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.015677799995,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.049087199994,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.082412499993,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.115809099996,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.149204000001,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.182486499994,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
130.215932399995,-247.331508237027,94.4474411167425,264.751192821304,159.099853993861
